Title,Category,Qualification
Store Operations Associate,Program Management,"['bachelor', 'art', 'science', 'degree', 'equivalent', 'practical', 'experience', '3', 'year', 'inmarket', 'hardware', 'retail', 'experience', 'similar', 'capacity', '2', 'year', 'experience', 'retail', 'store', 'operation', 'supply', 'chain', 'logistics', 'experience', 'managing', 'vendor', 'partner', 'demonstrated', 'record', 'meeting', 'exceeding', 'salesmarketing', 'target', 'retail', 'setting', 'demonstrated', 'background', 'retail', 'eg', 'fmcg', 'small', 'format', 'format', 'etc', 'consumer', 'electronics', 'ability', 'design', 'deliver', 'training', 'program', 'ability', 'travel', 'frequently', 'required']"
Software Engineer (English),Software Engineering,"['bachelor', 'science', 'degree', 'computer', 'science', 'similar', 'technical', 'field', 'study', 'equivalent', 'practical', 'experience', '1', 'year', 'experience', 'software', 'engineering', 'coding', 'working', 'two', 'following', 'language', 'java', 'cc', 'c', 'objectivec', 'python', 'javascript', 'php', 'ruby', 'go', 'experience', 'working', 'two', 'following', 'web', 'application', 'development', 'unixlinux', 'environment', 'mobile', 'application', 'development', 'distributed', 'parallel', 'system', 'machine', 'learning', 'information', 'retrieval', 'natural', 'language', 'processing', 'networking', 'developing', 'large', 'software', 'system', 'security', 'software', 'development', 'ability', 'speak', 'write', 'english', 'fluently', 'idiomatically', 'master', 'degree', 'phd', 'engineering', 'computer', 'science', 'technical', 'related', 'field', '4', 'year', 'relevant', 'work', 'experience', 'software', 'development', 'interest', 'ability', 'learn', 'coding', 'language', 'needed']"
Reverse Logistics Program Manager,Program Management,"['bachelor', 'degree', 'equivalent', 'practical', 'experience', '5', 'year', 'operation', 'supply', 'chain', 'reverse', 'logistics', 'relevant', 'experience', 'project', 'management', 'experience', 'customer', 'facing', 'experience', 'experience', 'working', 'asia', 'pacific', 'region', 'excellent', 'time', 'management', 'skill', 'demonstrated', 'ability', 'operate', 'fastpaced', 'environment', 'juggle', 'everchanging', 'priority', 'deadline', 'strong', 'interpersonal', 'skill', 'ability', 'work', 'crossfunctional', 'team', 'customer', 'external', 'vendor', 'entrepreneurial', 'spirit']"
"Global Supply Chain Manager, FPCB and PCB, Consumer Hardware",Manufacturing & Supply Chain,"['bachelor', 'art', 'science', 'electrical', 'engineering', 'mechanical', 'engineering', 'related', 'engineering', 'field', 'equivalent', 'practical', 'experience', '3', 'year', 'experience', 'technology', 'industry', 'procurement', 'supply', 'chain', 'management', 'equivalent', 'experience', '5', 'year', 'relevant', 'work', 'experience', 'global', 'supply', 'chain', 'management', 'within', 'consumer', 'electronics', 'knowledge', 'manufacturing', 'supply', 'chain', 'process', 'experience', 'fpcb', 'pcb', 'commodity', 'demonstrated', 'experience', 'collaborating', 'working', 'crossfunctionally', 'engineering', 'team', 'product', 'team', 'experience', 'working', 'partnering', 'supplier', 'proven', 'track', 'record', 'driving', 'overall', 'ramp', 'readiness', 'engineering', 'operation', 'supplier', 'team', 'excellent', 'communication', 'sourcing', 'negotiation', 'collaboration', 'skill', 'ability', 'travel', 'needed']"
"Strategic Relationships Project Manager, Consumer Hardware",Program Management,"['bachelor', 'art', 'science', 'degree', 'equivalent', 'practical', 'experience', '5', 'year', 'project', 'program', 'management', 'experience', 'agreementbased', 'context', 'experience', 'managing', 'project', 'stakeholder', 'partner', 'ability', 'travel', '10', 'time', 'required', 'experience', 'investment', 'banking', 'big', 'law', 'management', 'consulting', 'working', 'large', 'complex', 'agreement', 'project', 'ability', 'achieve', 'result', 'culture', 'favor', 'collaborative', 'decision', 'making', 'strong', 'analytical', 'problem', 'solving', 'skill', 'excellent', 'leadership', 'organizational', 'management', 'skill', 'excellent', 'use', 'communication', 'productivity', 'tool']"
"Networking Product Specialist, Google Cloud",Technical Solutions,"['bachelor', 'art', 'science', 'degree', 'computer', 'science', 'related', 'software', 'engineering', 'field', 'equivalent', 'practical', 'experience', 'experience', 'across', 'cloud', 'computing', 'infrastructure', 'storage', 'platform', 'data', 'well', 'cloud', 'market', 'competitive', 'dynamic', 'customer', 'buying', 'behavior', 'experience', 'advanced', 'networking', 'matter', 'softwaredefined', 'networking', 'network', 'virtualization', 'open', 'protocol', 'application', 'acceleration', 'load', 'balancing', 'virtual', 'private', 'network', 'ability', 'speak', 'write', 'english', 'fluently', 'idiomatically', 'master', 'degree', 'computer', 'science', 'related', 'technical', 'field', 'experience', 'serving', 'technical', 'sale', 'engineer', 'cloud', 'computing', 'environment', 'equivalent', 'experience', 'customer', 'facing', 'role', 'including', 'working', 'member', 'professional', 'service', 'system', 'engineering', 'team', 'experience', 'writing', 'code', 'common', 'web', 'mobile', 'development', 'language', 'java', 'javascript', 'python', 'go', 'php', 'android', 'io', 'experience', 'managing', 'large', 'complex', 'network', 'implementation', 'experience', 'installing', 'optimizing', 'maintaining', 'large', 'crosscountry', 'network', 'leveraging', 'traditional', 'innovative', 'protocol', 'framework', 'working', 'knowledge', 'main', 'traditional', 'routing', 'protocol', 'tcpip', 'mplsvpn', 'ipsec', 'load', 'balancing', 'network', 'security', 'dns', 'encryption', 'qos', 'ability', 'quickly', 'learn', 'understand', 'work', 'new', 'emerging', 'technology', 'methodology', 'solution', 'cloudit', 'technology', 'space']"
Mobile Apps Performance Specialist,Program Management,"['bachelor', 'art', 'science', 'degree', 'equivalent', 'practical', 'experience', '4', 'year', 'experience', 'working', 'professional', 'service', 'role', 'analyticaltechnicalconsulting', 'role', 'product', 'management', 'role', 'digitalmobile', 'advertising', 'experience', 'analyzing', 'large', 'data', 'set', 'provide', 'insight', 'consumption', 'client', 'sale', 'team', 'leadership', 'team', 'experience', 'managing', 'digital', 'advertising', 'campaign', 'large', 'client', 'experience', 'online', 'measurement', 'operation', 'campaign', 'optimization', 'experience', 'advising', 'customer', 'business', 'advertising', 'strategy', 'experience', 'working', 'apps', 'within', 'mobile', 'ecommerce', 'gaming', 'sector', 'industry', 'product', 'experience', 'digital', 'medium', 'agency', 'organization', 'ability', 'independently', 'lead', 'communicate', 'collaborate', 'multiple', 'stakeholder', 'work', 'effectively', 'global', 'team', 'excellent', 'communication', 'interpersonal', 'skill']"
"Program Manager, Create for Enterprise (Hardware Partnerships)",Program Management,"['bachelor', 'art', 'science', 'degree', 'equivalent', 'practical', 'experience', '7', 'year', 'related', 'saleschannel', 'management', 'business', 'development', 'partner', 'management', 'experience', 'internet', 'software', 'platform', 'consumer', 'electronics', 'company', 'experience', 'managing', 'project', 'multistakeholder', 'environment', 'experience', 'tiered', 'sale', 'model', 'involving', 'distributor', 'resellers', 'experience', 'hardware', 'proven', 'ability', 'plan', 'manage', 'strategic', 'operational', 'level', 'launch', 'new', 'product', 'program', 'successfully', 'market', 'place', 'strong', 'analytical', 'detailoriented', 'skill', 'ability', 'manage', 'ambiguity', 'solve', 'problem', 'scale', 'effectively', 'across', 'large', 'organization']"
"Network Engineer, Corporate Network",Network Engineering,"['bachelor', 'science', 'degree', 'computer', 'science', 'related', 'field', 'equivalent', 'practical', 'experience', 'experience', 'configuring', 'enterpriseclass', 'router', 'switch', 'juniper', 'cisco', 'experience', 'unix', 'system', 'administration', 'experience', 'customerinteraction', 'experience', 'one', 'general', 'purpose', 'programming', 'language', 'python', 'orand', 'go', 'master', 'phd', 'computer', 'science', 'related', 'technical', 'field', 'equivalent', 'practical', 'experience', 'substantial', 'operational', 'experience', 'enterpriseclass', 'router', 'switch', 'juniper', 'cisco', 'strong', 'customerinteraction', 'skill', 'architectural', 'skill', 'well', 'network', 'automation', 'experience', 'familiarity', 'sdn', 'nfv', 'linux', 'networking', 'experience', 'wireless', 'local', 'area', 'network', 'wlan', 'proven', 'demonstrable', 'skill', 'network', 'design', 'implementation', 'integration', 'operationally', 'sensitive', 'production', 'environment', 'proven', 'good', 'business', 'judgment', 'comfortable', 'communication', 'style']"
Executive Briefing Manager,Marketing & Communications,"['bachelor', 'art', 'science', 'degree', 'equivalent', 'practical', 'experience', '5', 'year', 'professional', 'experience', 'sale', 'business', 'development', 'consulting', 'industry', 'solution', 'marketing', 'cloud', 'data', 'management', 'technical', 'infrastructure', 'product', 'service', '3', 'year', 'experience', 'clientfacing', 'role', 'working', 'direct', 'engagement', 'account', 'team', 'experience', 'delivering', 'sale', 'product', 'marketing', 'technical', 'customer', 'engagement', 'initiative', 'scale', 'experience', 'delivering', 'content', 'programming', 'customer', 'executive', 'briefing', 'center', 'similar', 'presentation', 'delivery', 'meeting', 'facilitation', 'experience', 'experience', 'leading', 'customer', 'engagement', 'program', 'csuite', 'customer', 'understanding', 'cloud', 'industry', 'enterprise', 'customer', 'scale', 'requirement', 'strong', 'understanding', 'google', 'cloud', 'product', 'solution', 'excellent', 'writtenverbal', 'communication', 'skill', 'ability', 'influence', 'others']"
"Internet of Things (IoT) Product Specialist, Google Cloud",Technical Solutions,"['bachelor', 'art', 'science', 'degree', 'computer', 'science', 'related', 'software', 'engineering', 'field', 'equivalent', 'practical', 'experience', 'experience', 'multiple', 'aspect', 'cloud', 'computing', 'infrastructure', 'storage', 'platform', 'data', 'experience', 'cloud', 'based', 'iot', 'suite', 'experience', 'edge', 'computing', 'field', 'gateway', 'hardwarefirmware', 'side', 'sensor', 'market', 'embeddedrealtime', 'operating', 'system', 'driverkernel', 'development', 'short', 'range', 'wireless', 'communication', 'master', 'degree', 'computer', 'science', 'relevant', 'technical', 'field', 'experience', 'big', 'data', 'platformasaservice', 'paas', 'infastructureasaservice', 'iaa', 'technology', 'experience', 'serving', 'technical', 'sale', 'engineer', 'cloud', 'computing', 'environment', 'equivalent', 'experience', 'customer', 'facing', 'role', 'including', 'working', 'member', 'professional', 'service', 'system', 'engineering', 'team', 'knowledge', 'cloud', 'market', 'market', 'dynamic', 'customer', 'buying', 'behavior', 'ability', 'quickly', 'learn', 'understand', 'work', 'new', 'emerging', 'technology', 'methodology', 'solution', 'cloudit', 'technology', 'space']"
"Vendor Manager, Google Technical Services",Technical Solutions,"['5', 'year', 'relevant', 'work', 'experience', 'consumer', 'product', 'support', 'customer', 'service', 'contact', 'center', 'operation', '3', 'year', 'experience', 'vendor', 'management', 'consumer', 'product', 'support', 'ability', 'travel', 'vendor', 'site', 'required', 'business', 'process', 'project', 'management', 'expertise', 'strong', 'analytical', 'structured', 'problem', 'solving', 'capability', 'vendor', 'relationship', 'management', 'negotiation', 'skill', 'strong', 'business', 'acumen', 'passion', 'delivering', 'worldclass', 'customer', 'experience', 'exceptional', 'leadership', 'management', 'communication', 'collaboration', 'skill']"
"Technical Solutions Consultant, Google Technical Services",Technical Solutions,"['bachelor', 'art', 'science', 'degree', 'computer', 'science', 'related', 'technical', 'subject', 'equivalent', 'practical', 'experience', 'experience', 'web', 'technology', 'html', 'cs', 'javascript', 'http', 'experience', 'one', 'programming', 'language', 'including', 'java', 'c', 'python', 'ability', 'speak', 'write', 'english', 'french', 'fluently', 'idiomatically', 'experience', 'working', 'managing', 'external', 'partnerscustomers', 'familiarity', 'sqlmysql', 'unixlinux', 'operating', 'systemscommands', 'demonstrated', 'ability', 'adapt', 'message', 'technical', 'level', 'audience', 'comfort', 'presenting', 'technical', 'material', 'group', 'size', 'background', 'excellent', 'project', 'management', 'skill', 'attention', 'detail', 'excellent', 'problem', 'solving', 'analytical', 'troubleshooting', 'skill']"
"Sales Analyst, Google Cloud",Program Management,"['salesforce', 'administrator', 'certification', '3', 'year', 'quantitative', 'work', 'experience', 'sale', 'marketing', 'operation', 'financial', 'analysis', 'analytical', 'function', 'technical', 'experience', 'including', 'experience', 'sql', 'bachelor', 'degree', 'business', 'relevant', 'qualification', 'equivalent', 'practical', 'experience', 'demonstrated', 'history', 'process', 'automation', 'improvement', 'significant', 'experience', 'salesforce', 'administration', 'demonstrated', 'history', 'conducting', 'quantitative', 'analysis', 'driven', 'valuable', 'change', 'optimization', 'business', 'context', 'strong', 'strategic', 'thinking', 'communication', 'crossfunctional', 'coordination', 'skill']"
Software Engineer,Software Engineering,"['5', 'year', 'experience', 'system', 'software', 'design', 'experience', 'one', 'following', 'area', 'server', 'backend', 'distributed', 'parallel', 'system', 'full', 'stack', 'development', 'front', 'end', 'backend', 'scalable', 'enterprise', 'platform', 'application', 'application', 'security', 'incident', 'management', 'machine', 'learning', 'information', 'retrieval', 'natural', 'language', 'processing', 'experience', 'software', 'development', 'one', 'general', 'programming', 'language', 'eg', 'java', 'cc', 'c', 'python', 'javascript', 'go', 'development', 'experience', 'unixlinux', 'master', 'phd', 'degree', 'education', 'equivalent', 'practical', 'experience', 'engineering', 'computer', 'science', 'technical', 'related', 'field', 'ability', 'learn', 'coding', 'language', 'needed', 'demonstrated', 'ability', 'share', 'knowledge', 'via', 'formal', 'mentoring', 'reviewing', 'code', 'reviewing', 'design', 'document', 'providing', 'technical', 'talk', 'teaching', 'class', 'consultant', 'project']"
"Product Lifecycle Management, Business Systems",Technical Solutions,"['bachelor', 'art', 'science', 'degree', 'equivalent', 'practical', 'experience', '8', 'year', 'experience', 'deploying', 'pdmplm', 'experience', 'implementation', 'windchill', 'pdmagile', 'plm', 'experience', 'building', 'enhancing', 'scaled', 'system', 'entire', 'lifecycle', 'analyze', 'design', 'build', 'test', 'implement', 'support', 'experience', 'supporting', 'cad', 'tool', 'teamcenter', 'nx', 'creo', 'solidworks', 'concept', 'hdl', 'allegro', 'etc', 'integration', 'pdmplm', 'tool', 'master', 'degree', 'computer', 'science', 'related', 'field', 'familiarity', 'plm', 'industry', 'best', 'practice', 'ability', 'deal', 'ambiguity', 'thrive', 'rapidly', 'changing', 'business', 'environment', 'detailed', 'knowledge', 'supply', 'chain', 'process']"
"Chrome Customer Success Manager, Google Cloud",Program Management,"['4', 'year', 'experience', 'technical', 'projectprogram', 'management', 'either', 'corporate', 'professional', 'service', 'consulting', 'product', 'development', '4', 'year', 'experience', 'system', 'administrator', 'role', 'experience', 'leading', 'hardware', 'based', 'partner', 'management', 'implementation', 'operation', 'sale', 'knowledge', 'chrome', 'o', 'enterprise', 'management', 'chrome', 'browser', 'active', 'directory', 'federation', 'service', 'adfs', 'typical', 'enterprise', 'software', 'educational', 'apps', 'used', 'enterprise', 'education', 'space', 'respectively', 'proven', 'trackrecord', 'implementing', 'largescale', 'cloud', 'device', 'project', 'education', 'business', 'vertical', 'demonstrated', 'aptitude', 'understanding', 'troubleshooting', 'technical', 'infrastructure', 'setup', 'customer', 'excellent', 'organizational', 'analytical', 'influencing', 'skill']"
"Pre-Sales Solutions Architect Manager, Google Cloud",Technical Solutions,"['bachelor', 'art', 'science', 'degree', 'computer', 'science', 'related', 'field', 'equivalent', 'practical', 'experience', '10', 'year', 'experience', 'serving', 'capacity', 'technical', 'sale', 'engineer', 'cloud', 'computing', 'environment', 'equivalent', 'experience', 'customer', 'facing', 'role', 'including', 'working', 'member', 'professional', 'service', 'system', 'engineering', 'team', 'technical', 'experience', 'within', 'technology', 'cloud', 'computing', 'market', 'experience', 'people', 'management', 'mbachelor', 'art', 'master', 'degree', 'computer', 'science', 'understanding', 'solution', 'architecture', 'within', 'web', 'mobile', 'environment', 'technical', 'experience', 'webinternet', 'related', 'technology', 'architecture', 'across', 'saas', 'paas', 'iaa', 'competitive', 'cloud', 'productivity', 'suite', 'ability', 'effectively', 'present', 'technical', 'nontechnical', 'audience', 'ability', 'learn', 'understand', 'work', 'new', 'emerging', 'technology', 'methodology', 'solution', 'cloudit', 'technology', 'space', 'effective', 'organization', 'management', 'analytical', 'skill', 'detailoriented', 'ability', 'zoom', 'inout', 'big', 'picture', 'minutia', 'demonstrated', 'ability', 'grow', 'team', 'full', 'potential', 'particularly', 'fastpaced', 'dynamic', 'sale', 'environment', 'passion', 'google', 'cloud', 'product', 'g', 'suite', 'google', 'cloud', 'platform', 'etc']"
"Network Operations Engineer, Corporate",Network Engineering,"['bachelor', 'art', 'science', 'degree', 'technical', 'field', 'equivalent', 'practical', 'experience', '4', 'year', 'experience', 'implementing', 'supporting', 'largewide', 'area', 'network', 'experience', 'network', 'changemanagement', 'control', 'policy', 'experience', 'tcpip', 'fundamental', 'commonlyused', 'routing', 'protocol', 'eg', 'ospf', 'bgp', 'mpls', 'etc', 'experience', 'working', 'withfor', 'network', 'platform', 'provider', 'experience', 'software', 'defined', 'network', 'sdn', 'technology', 'experience', 'python', 'go', 'good', 'lan', 'wan', 'troubleshooting', 'skill', 'solid', 'understanding', 'network', 'security']"
Operations Engineer,Technical Infrastructure,"['bachelor', 'art', 'science', 'degree', 'equivalent', 'practical', 'experience', 'experience', 'hardware', 'architecture', 'maintenance', 'repair', 'experience', 'data', 'center', 'server', 'networking', 'hardware', 'demonstrated', 'understanding', 'infrastructure', 'high', 'level', 'experience', 'team', 'project', 'lead', 'intermediate', 'networking', 'knowledge', 'including', 'basic', 'topology', 'protocol', 'understanding', 'intermediate', 'level', 'linux', 'skill', 'including', 'installation', 'system', 'administration', 'troubleshooting', 'effective', 'interpersonal', 'communication', 'skill', 'ability', 'interact', 'appropriately', 'user', 'various', 'technical', 'skill', 'level', 'remains', 'calm', 'courteous', 'working', 'resolve', 'problem']"
"Web Solutions Engineer, Product and Tools Operations",Software Engineering,"['bachelor', 'science', 'degree', 'computer', 'science', 'related', 'technical', 'field', 'equivalent', 'practical', 'experience', '4', 'year', 'experience', 'working', 'front', 'end', 'language', 'html5', 'cs', 'javascript', 'angularjs', '4', 'year', 'experience', 'java', 'python', 'experience', 'implementing', 'software', 'unit', 'test', 'experience', 'code', 'review', 'working', 'collaboratively', 'shared', 'codebase', 'experience', 'unit', 'testing', 'agile', 'project', 'development', 'bugchange', 'management', 'system', 'demonstrated', 'ability', 'operate', 'flexibly', 'exercising', 'judgment', 'dynamic', 'environment', 'able', 'manage', 'competing', 'priority', 'deadline', 'ability', 'quickly', 'independently', 'provide', 'technical', 'solution', 'business', 'problem']"
"Supplier Development Engineering Manager, Mechanical Operations",Hardware Engineering,"['bachelor', 'degree', 'mechanical', 'engineering', 'industrial', 'engineering', 'equivalent', 'practical', 'experience', '10', 'year', 'experience', 'enabling', 'transition', 'new', 'product', 'highvolume', 'production', 'experience', 'core', 'mechanical', 'manufacturing', 'process', 'including', 'injection', 'molding', 'cnc', 'machining', 'stamping', 'forging', 'casting', 'deep', 'drawing', 'surface', 'finishing', 'experience', 'statistical', 'process', 'control', 'including', 'cp', 'cpk', 'grr', 'gdt', 'experience', 'dfx', 'fixture', 'design', 'qualification', 'cosmetic', 'inspection', 'method', 'measurement', 'fixture', 'design', 'metrology', 'measurement', 'correlation', 'experience', 'leading', 'managing', 'team', 'manufacturing', 'quality', 'engineer', 'demonstrated', 'knowledge', 'common', 'surface', 'finishing', 'operation', 'including', 'painting', 'plating', 'pvd', 'anodizing', 'polishing', 'lapping', 'sandblasting', 'knowledge', 'mechanical', 'bonding', 'process', 'including', 'snap', 'press', 'fit', 'ultrasonic', 'welding', 'glueing', 'application', 'pressure', 'sensitive', 'liquid', 'adhesive', 'demonstrated', 'record', 'overseeing', 'yield', 'improvement', 'cycle', 'time', 'reduction', 'high', 'volume', 'high', 'complexity', 'part', 'premium', 'fit', 'finish', 'understanding', 'cosmetic', 'quality', 'standard', 'defining', 'measuring', 'color', 'specifying', 'measuring', 'surface', 'finish', 'creating', 'cosmetic', 'defect', 'catalog', 'establishing', 'grading', 'limit', 'drive', 'cosmetic', 'yield', 'study', 'establish', 'review', 'limit', 'sample', 'meet', 'id', 'design', 'intent', 'demonstrated', 'ability', 'proactively', 'influence', 'product', 'design', 'process', 'proposing', 'improvement', 'associated', 'data']"
"Technical Solutions Engineer, Chrome and Android, Google Cloud",Technical Solutions,"['bachelor', 'art', 'science', 'degree', 'computer', 'science', 'related', 'technical', 'field', 'equivalent', 'practical', 'experience', 'industry', 'experience', 'technical', 'support', 'professional', 'service', 'engineering', 'sustaining', 'engineering', 'system', 'engineering', 'capacity', 'experience', 'implementing', 'troubleshooting', 'supporting', 'internetbased', 'application', 'web', 'server', 'mail', 'server', 'eg', 'exchange', 'lotus', 'sendmail', 'postfix', 'experience', 'identity', 'management', 'directory', 'service', 'experience', 'managing', 'hosted', 'servicessaas', 'familiarity', 'programmingscripting', 'ie', 'one', 'java', 'c', 'c', 'net', 'python', 'shell', 'perl', 'javascript', 'experience', 'working', 'various', 'data', 'base', 'management', 'system', 'data', 'mining', 'analysis', 'excellent', 'network', 'administration', 'troubleshooting', 'skill', 'understanding', 'linuxunix', 'system', 'administration', 'understanding', 'web', 'mailrelated', 'standard', 'http', 'html', 'xml', 'cookiebased', 'sso', 'smtp', 'effective', 'troubleshooting', 'followthrough', 'problem', 'solving', 'skill', 'resourcefulness', 'attention', 'detail', 'communication', 'skill', 'verbal', 'written', 'ability', 'keep', 'pace', 'rapid', 'change', 'enterprise', 'product']"
"Supplier Development Engineer, Materials, Consumer Products",Hardware Engineering,"['bachelor', 'science', 'mechanical', 'material', 'engineering', 'equivalent', 'practical', 'experience', '10', 'year', 'experience', 'design', 'manufacturing', 'npi', 'role', 'experience', 'working', 'adhesive', 'coating', 'related', 'processing', 'm', 'mechanical', 'material', 'engineering', 'experience', 'managing', 'functional', 'engineering', 'team', 'project', 'management', 'experience', 'including', 'effective', 'datahandling', 'documentation', 'critical', 'decisionmaking', 'organizational', 'skill', 'experience', 'launching', 'new', 'product', 'contract', 'manufacturer', 'odms', 'knowledge', 'quality', 'statistical', 'tool', 'method', 'organized', 'methodical', 'excellent', 'verbal', 'written', 'communication', 'skill']"
"Partner Program Design Manager, Technology Partners, Google Cloud",Program Management,"['bachelor', 'degree', 'equivalent', 'practical', 'experience', '5', 'year', 'experience', 'program', 'management', 'partner', 'development', 'channel', 'sale', 'role', 'business', 'technology', 'market', 'master', 'degree', 'technical', 'field', 'eg', 'computer', 'sciencesoftware', 'engineering', 'etc', 'mbachelor', 'art', '10', 'year', 'partner', 'program', 'experience', 'enterprise', 'software', 'cloud', 'company', 'experience', 'competitive', 'partner', 'program', 'ability', 'manage', 'numerous', 'project', 'simultaneously', 'drive', 'successful', 'completion', 'wide', 'range', 'stakeholder', 'tight', 'timeline', 'enthusiastic', 'problem', 'solver', 'solid', 'track', 'record', 'designing', 'executing', 'large', 'scale', 'sale', 'program', 'across', 'multiple', 'region', 'team', 'work', 'well', 'fastpaced', 'dynamic', 'environment', 'passionate', 'partner', 'possessing', 'drive', 'achieve', 'quick', 'result', 'capacity', 'assume', 'increasing', 'responsibility', 'highly', 'successful', 'fastpaced', 'global', 'organization', 'strong', 'communication', 'interpersonal', 'skill', 'ability', 'influence', 'executive', 'level']"
"Application Engineer, SAP",Technical Infrastructure,"['bachelor', 'science', 'degree', 'computer', 'science', 'related', 'technical', 'field', 'equivalent', 'practical', 'experience', '5', 'year', 'experience', 'implementing', 'customizing', 'vendor', 'software', 'building', 'custom', 'financial', 'application', 'full', 'system', 'implementation', 'lifecycles', 'analyze', 'design', 'build', 'test', 'implement', 'support', 'experience', 'one', 'functional', 'area', 'treasury', 'procure', 'pay', 'supply', 'chain', 'logistics', 'asset', 'management', 'experience', 'sap', 's4hana', 'module', 'sap', 'abachelor', 'artp', 'development', 'platform', 'webapp', 'software', 'development', 'm', 'degree', 'computer', 'science', 'related', 'technical', 'field', 'equivalent', 'practical', 'experience', 'experience', 'working', 'system', 'handle', 'financial', 'data', 'experience', 'implementingcustomizing', 'sap', 'treasury', 'management', 'application', 'experience', 'java', 'javascript', 'html5', 'sap', 'technology', 'like', 'sap', 'hana', 'sap', 'fiori', 'netweaver', 'solid', 'understanding', 'information', 'management', 'data', 'modeling', 'system', 'integration', 'development', 'methodology', 'including', 'unit', 'testing']"
"Manager, Technical Specialists, Google Technical Services",Technical Solutions,"['bachelor', 'art', 'science', 'degree', 'computer', 'science', 'related', 'technical', 'field', 'equivalent', 'practical', 'experience', 'experience', 'leadingmanaging', 'service', 'operation', 'sale', 'team', 'experience', 'developing', 'team', 'strategy', 'managing', 'team', 'performance', 'experience', 'managing', 'strategic', 'crossfunctional', 'relationship', 'sale', 'team', 'working', 'global', 'senior', 'stakeholder', 'experience', 'collaborating', 'internationally', 'multiple', 'stakeholder', 'lead', 'long', 'term', 'project', 'completion', 'experience', 'doubleclick', 'suite', 'adwords', 'analytics', 'similar', 'online', 'advertising', 'suite', 'experience', 'managing', 'developing', 'professional', 'service', 'offering', 'strong', 'data', 'analysis', 'ability', 'deal', 'ambiguity', 'solve', 'complex', 'problem', 'scale', 'effectively', 'across', 'large', 'organization', 'highly', 'distributed', 'team', 'expertise', 'technical', 'project', 'management']"
"Software Engineering Manager, G Suite",Software Engineering,"['bachelor', 'art', 'science', 'degree', 'computer', 'science', 'related', 'field', 'equivalent', 'practical', 'experience', '5', 'year', 'experience', 'technical', 'leadership', 'people', 'management', '3', 'year', 'experience', 'leading', 'fullstack', 'development', 'project', 'experience', 'programming', 'one', 'following', 'java', 'javascript', 'c', 'master', 'degree', 'phd', 'computer', 'science', 'related', 'field', '10', 'year', 'relevant', 'industry', 'experience', 'experience', 'web', 'development', 'html', 'html5', 'expertise', 'problemsolving', 'technical', 'innovation']"
"Program Manager, Security Ecosystem, Google Cloud",Program Management,"['bachelor', 'art', 'science', 'degree', 'equivalent', 'practical', 'experience', '6', 'year', 'technology', 'b2b', 'marketing', 'experience', 'experience', 'working', 'technology', 'partner', 'customer', 'executive', 'along', 'content', 'medium', 'agency', 'experience', 'planning', 'implementing', 'analyzing', 'marketing', 'program', 'including', 'budget', 'management', 'experience', 'marketing', 'business', 'security', 'product', 'ability', 'create', 'present', 'content', 'variety', 'audience', 'effective', 'organization', 'communication', 'skill', 'ability', 'collaborate', 'crossfunctional', 'product', 'sale', 'marketing', 'team']"
"Measurement Solutions Consultant (English, Japanese)",Technical Solutions,"['experience', 'managing', 'analytics', 'solution', 'experience', 'managing', 'client', 'expectation', 'requirement', 'experience', 'conflict', 'resolution', 'ability', 'speak', 'write', 'english', 'japanese', 'fluently', 'idiomatically', 'experience', 'using', 'deploying', 'digital', 'analytics', 'measurement', 'solution', 'experience', 'saas', 'model', 'experience', 'data', 'analytics', 'big', 'data', 'data', 'warehouse', 'experience', 'data', 'flow', 'process', 'ingesting', 'manipulating', 'running', 'report', 'knowledge', 'data', 'driven', 'attribution', 'methodology', 'attribution', 'solution', 'familiarity', 'digital', 'medium', 'eg', 'display', 'paid', 'search', 'video', 'ad', 'mobile', 'ad', 'email', 'marketing', 'affiliate', 'familiarity', 'marketingmedia', 'performance', 'report', 'metric', 'understanding', 'database', 'table', 'familiar', 'sql', 'relational', 'database', 'project', 'management', 'skill', 'timeline', 'milestone', 'expectation', 'setting', 'crossfunctional', 'team', 'management', 'organization', 'prioritization', 'skill']"
"Program Manager, Alphabet Treasury, Corporate Engineering",Program Management,"['bachelor', 'art', 'science', 'degree', 'computer', 'science', 'related', 'technology', 'field', 'equivalent', 'practical', 'experience', '7', 'year', 'program', 'management', 'experience', 'technical', 'field', 'experience', 'finance', 'process', 'eg', 'accounting', 'planning', 'budgeting', 'business', 'intelligence', 'payroll', 'procuretopay', 'ordertocash', 'treasury', '7', 'year', 'program', 'management', 'experience', '10', 'year', 'relevant', 'work', 'experience', 'experience', 'process', 'redesign', 'transformational', 'work', 'sap', 'treasury', 'management', 'thirdparty', 'treasury', 'application', 'experience', 'waterfall', 'agile', 'project', 'management', 'methodology', 'strong', 'project', 'management', 'capability', 'proven', 'track', 'record', 'successfully', 'leading', 'complex', 'medium', 'largescale', 'project', 'ability', 'integrate', 'member', 'team', 'composed', 'technical', 'nontechnical', 'member', 'excellent', 'oral', 'written', 'communication', 'interpersonal', 'analytical', 'skill']"
